shopId          shopName 	                      shopId               shopName                                  distance
156784195 遇见阿家村云南乡土菜 83928448 辣麻麻老灶火锅 1.646
2676912 川江水岸 107619184 门框胡同百年卤煮（中关村店） 4.93
40975161 赛百味（东升科技园店） 40894030 磁器铜锅涮肉 11.448
63792710 京都蝎府羊蝎子火锅（农大店） 4711433 北邮科技酒店·中餐厅 14.287
267320 陈阿婆麻辣香锅（永定路店） 40465965 串啊串海鲜烧烤小龙虾 15.283
103430162 东田之村·和风料理（西二旗店） 353231 江依林黑牛烤肉·串吧（五道口店） 11.39
281351 晋风庄园（二里庄店） 1655112 川成元·麻辣香锅（凯德晶品店） 15.606
516426 千滋百味蛋糕 97399705 驴世家驴肉火烧（大钟寺店） 10.822
135241342 重庆地瓜老火锅（田村店） 156629084 靠谱烤羊腿·羊蝎子（四道口店） 13.015
1326704856 万寿桥街头烤牛肉（万寿桥店） 373673 金凤成祥（五棵松二店） 9.202
277088 秦老大西安泡馍馆 90049482 锅说一次用油老火锅（五棵松店） 15.929
152720691 花枝日本料理（金沟河店） 1321630236 姆们MSweetieCake（五道口店） 11.394
2387743 淮扬菜品鉴堂 373874 香猪坊（魏公村店） 7.73
264994 苗乡楼贵州味道（金源购物中心店） 115198954 小牛海记潮汕牛肉店（永定路店） 7.394
262906 德川家日本料理（中关村店） 78164953 伙计厨房（华联万柳购物中心店） 4.209
1058617806 马路边边串串香（温泉店） 296735 李先生牛肉面大王（金源餐厅店） 20.391
1551464 花舍咖餐厅（金源店） 1659933 御园汇餐饮 12.712
281402 金榜缘 353957 85度C（知春路店） 5.068
3287608 安安佳美蛋糕店 152698807 素虎（西三旗店） 15.029
1321630236 姆们MSweetieCake（五道口店） 52534671 潮汕渔村 5.907
263972 好伦哥（永定路店） 87523432 大田家黑牛烤肉（复兴路店） 5.924
4209304 爱的味道蛋糕（清河店） 1657651 面包新语（金源新燕莎MALL店） 13.9
2580996 滇草香云南原生态汤火锅（华联万柳店） 299906 呷哺呷哺（五道口华联店） 6.431
262990 西贝莜面村（香山店） 99034208 长湘居（人民大学店） 11.997
1321630236 姆们MSweetieCake（五道口店） 6700547 老郑州门钉肉饼爆肚涮肉（农业大学西区店） 8.42
129389581 J·FREEDOM简自由餐吧（五棵松店） 96644355 印湘·剁椒鱼头（夏霖园店） 20.656
6011054 美禾多乐房（中关村店） 157056265 和畅小镇京味私房菜（五棵松华熙店） 10.555
5296921 卷卷春饼小馆（四道口店） 6686185 粮薪筵（双榆树店） 3.035
177541082 燕枫楼老郑州酱肉熟食主食（唐家岭店） 4194979 蜀乡美食 14.227
42642134 榴莲哥千层蛋糕甜品（郑州总店） 317225 蓉蓉阁（万柳店） 8.108
266432 小码头重庆火锅（二里庄店） 157099968 胖鸽子烧烤一品九味餐饮（金沟河万城大厦店） 15.977
315977 唯实自助餐厅（唯实大厦店） 42557268 久久丫鸭脖（地铁西二旗店） 11.591
101320912 沸炉鲜货火锅（牡丹园店） 95863925 泰伙餐厅 12.256
5847259 禾声福酒家 98665766 上庄水库尚野自助烧烤山庄 24.836
177541082 燕枫楼老郑州酱肉熟食主食（唐家岭店） 265599 桃屋日本料理（五道口店） 14.193
97399705 驴世家驴肉火烧（大钟寺店） 4711433 北邮科技酒店·中餐厅 2.477
2559552 95号酱骨·一块豆腐 5296921 卷卷春饼小馆（四道口店） 5.261
179215392 高兴火锅（五道口店） 84515678 鳗鱼家黑牛火炉烧肉（厂洼店） 6.181
69569439 阿丽斑鱼（永定路店） 52257334 杨国福麻辣烫（田村店） 2.763
1931758699 海簋·蒸汽海鲜（西直门店） 264911 鸿毛饺子（上地三街店） 14.989
76137 林之雨精致料理铁板烧（万柳店） 1657651 面包新语（金源新燕莎MALL店） 1.854
373874 香猪坊（魏公村店） 51187949 犟小面（欧美汇店） 2.765
1229339990 985火锅串串香烧烤 1654738 千鹤居酒屋（首都师范大学店） 9.338
265155 坪亭·铁板烧自助餐厅（中关村店） 113448650 诚一料理（五道口圣熙八号店） 7.679
740398036 杨老五·小龙虾·羊蝎子（农大西路店） 163201807 石器时代串吧（六道口店） 1.499
6580111 吉野家YOSHINOYA（五棵松店） 346915 水果先生（金源新燕莎店） 7.066
